#Ref_name, Sample_ID, Total_reads, Mapped_reads, Map_percentage, Avg_depth, Patristic_distance
Aspidoscelis_marmoratus,RLK034,152940504,151871911,99.3013,26.14588,0
Aspidoscelis_marmoratus,RLK004,150373397,144747929,96.259,23.96038,57.37386329
Aspidoscelis_marmoratus,KLC098,143814817,138114409,96.0362,22.79786,57.37386428
Aspidoscelis_marmoratus,RLK019,141456560,135559291,95.831,22.3103,57.373868
Salvator_merianae,RLK004,174847779,70880852,40.5386,4.302502,191.5903642
Salvator_merianae,KLC098,166317786,67737761,40.7279,4.135047,191.5903652
Salvator_merianae,RLK019,163402116,65513845,40.0936,3.970873,191.5903689
Salvator_merianae,RLK034,177236907,74326173,41.936,4.514858,191.5903701
Calyptommatus_sinebrachiatus,KLC098,160999583,42063892,26.1267,2.538372,191.5903552
Calyptommatus_sinebrachiatus,RLK004,169045313,44109431,26.0932,2.658439,191.5903542
Calyptommatus_sinebrachiatus,RLK019,158180928,40880155,25.8439,2.458947,191.5903589
Calyptommatus_sinebrachiatus,RLK034,172194365,47373394,27.5115,2.866249,191.5903602
